iter	Passed	Remaining
0	57	57755
1	58	28971
2	58	19377
3	58	14578
4	58	11693
5	58	9770
6	59	8397
7	59	7367
8	59	6569
9	59	5926
10	60	5402
11	60	4964
12	60	4595
13	60	4278
14	60	4004
15	61	3763
16	61	3550
17	61	3362
18	61	3192
19	62	3039
20	62	2902
21	62	2777
22	62	2663
23	62	2558
24	63	2462
25	63	2372
26	63	2290
27	63	2212
28	63	2141
29	64	2075
30	64	2012
31	64	1954
32	64	1899
33	65	1847
34	65	1798
35	65	1752
36	65	1709
37	65	1667
38	66	1628
39	66	1590
40	66	1555
41	66	1521
42	66	1489
43	67	1458
44	67	1429
45	67	1400
46	67	1373
47	67	1347
48	68	1323
49	68	1299
50	68	1276
51	68	1254
52	69	1233
53	69	1212
54	69	1192
55	69	1173
56	69	1155
57	70	1137
58	70	1120
59	70	1103
60	70	1087
61	70	1071
62	71	1056
63	71	1042
64	71	1027
65	71	1014
66	71	1001
67	72	988
68	72	975
69	72	963
70	72	952
71	73	941
72	73	929
73	73	918
74	73	908
75	73	897
76	74	887
77	74	877
78	74	867
79	74	858
80	74	848
81	75	847
82	75	836
83	75	828
84	76	819
85	76	811
86	76	802
87	76	794
88	76	787
89	77	779
90	77	772
91	77	765
92	77	758
93	77	751
94	78	744
95	78	738
96	78	731
97	78	725
98	78	718
99	79	712
100	79	706
101	79	700
102	79	695
103	80	689
104	80	683
105	80	678
106	80	672
107	80	667
108	81	662
109	81	658
110	81	653
111	81	649
112	82	644
113	82	639
114	82	634
115	82	629
116	82	624
117	82	620
118	83	615
119	83	611
120	83	606
121	83	602
122	83	598
123	84	593
124	84	589
125	84	585
126	84	581
127	84	577
128	85	574
129	85	570
130	85	566
131	85	563
132	85	559
133	86	556
134	86	552
135	86	549
136	86	545
137	86	542
138	87	538
139	87	535
140	87	532
141	87	528
142	87	525
143	87	522
144	88	519
145	88	516
146	88	514
147	89	515
148	89	513
149	90	510
150	90	507
151	90	504
152	90	502
153	90	499
154	91	496
155	91	493
156	91	491
157	91	488
158	91	486
159	92	483
160	92	480
161	92	477
162	92	475
163	92	472
164	92	470
165	93	468
166	93	465
167	93	463
168	93	461
169	93	458
170	94	456
171	94	454
172	94	451
173	94	449
174	94	447
175	95	445
176	95	443
177	95	441
178	95	439
179	95	437
180	96	435
181	96	433
182	96	431
183	96	429
184	97	427
185	97	425
186	97	423
187	97	421
188	97	419
189	98	417
190	98	415
191	98	414
192	98	412
193	98	410
194	99	408
195	99	406
196	99	405
197	99	403
198	99	401
199	99	399
200	100	398
201	100	396
202	100	394
203	100	393
204	100	391
205	101	389
206	101	388
207	101	386
208	101	385
209	102	383
210	102	382
211	102	380
212	102	379
213	102	377
214	103	376
215	103	374
216	103	373
217	103	371
218	103	370
219	104	368
220	104	367
221	104	366
222	104	364
223	104	363
224	105	361
225	105	360
226	105	359
227	105	357
228	105	356
229	106	355
230	106	353
231	106	352
232	106	351
233	106	349
234	107	348
235	107	347
236	107	345
237	107	344
238	107	343
239	108	342
240	108	340
241	108	339
242	108	338
243	108	337
244	109	335
245	109	334
246	109	333
247	109	332
248	109	331
249	110	330
250	110	328
251	110	327
252	110	326
253	110	325
254	111	324
255	111	323
256	111	322
257	111	321
258	111	319
259	112	319
260	112	318
261	112	316
262	112	315
263	112	314
264	113	313
265	113	312
266	113	311
267	113	310
268	113	309
269	114	308
270	114	307
271	114	306
272	114	305
273	114	304
274	115	303
275	115	302
276	115	301
277	115	300
278	115	299
279	116	298
280	116	297
281	116	296
282	116	295
283	116	294
284	117	293
285	117	293
286	117	292
287	117	291
288	117	290
289	118	289
290	118	288
291	118	287
292	118	286
293	118	285
294	119	284
295	119	283
296	119	283
297	119	282
298	120	281
299	120	280
300	120	279
301	120	279
302	120	278
303	121	277
304	121	276
305	121	275
306	121	274
307	121	273
308	122	273
309	122	272
310	122	271
311	122	270
312	122	269
313	123	268
314	123	268
315	123	267
316	123	266
317	123	265
318	124	266
319	124	265
320	125	264
321	125	263
322	125	262
323	125	262
324	125	261
325	126	260
326	126	259
327	126	259
328	126	258
329	126	257
330	127	256
331	127	256
332	127	255
333	127	254
334	127	253
335	128	253
336	128	252
337	128	251
338	128	251
339	128	250
340	129	249
341	129	249
342	129	248
343	129	247
344	130	246
345	130	246
346	130	245
347	130	244
348	130	243
349	130	243
350	131	242
351	131	241
352	131	241
353	131	240
354	131	239
355	132	239
356	132	238
357	132	237
358	132	236
359	132	236
360	133	235
361	133	234
362	133	234
363	133	233
364	133	232
365	134	232
366	134	231
367	134	230
368	134	230
369	134	229
370	135	228
371	136	229
372	136	229
373	136	228
374	136	227
375	136	227
376	137	226
377	138	227
378	138	226
379	138	226
380	138	225
381	139	224
382	139	224
383	139	223
384	139	222
385	139	222
386	140	221
387	140	221
388	140	220
389	140	219
390	140	219
391	141	218
392	141	218
393	141	217
394	141	216
395	141	216
396	142	215
397	142	215
398	142	214
399	142	213
400	142	213
401	142	212
402	143	212
403	143	211
404	143	210
405	143	210
406	143	209
407	144	209
408	144	208
409	144	208
410	144	207
411	144	206
412	145	206
413	145	205
414	145	205
415	145	204
416	146	204
417	146	203
418	146	203
419	146	202
420	146	202
421	147	201
422	147	200
423	147	200
424	147	199
425	147	199
426	148	198
427	148	198
428	148	197
429	148	197
